date	folder	rna_id	rna_begin	rna_end	rt_begin_pos	rt_end_pos	rt_primer	purification	tp	probe	temperature	magnesium	ddntp	ref	probe_file	control_file	qushape_file	sequence	comment	Output	Reactivity  condition	discard	replicate
2019-12-04	20191204_R	343					5UTR	B11	sans Mg	1M7	37	Mg	ddATP	2					ok	ok	ok		
2019-12-04	20191204_R	343					5UTR	B2	5 mM	1M7	37	Mg	ddATP	3					ok	ok	ok		
2019-12-13	20191213_R	343					5UTR	Precipit	DD + Mg	1M7	37	Mg	ddATP	343					ok	ok	ok		
2019-12-13	20191213_R	416					HIV2b	Precipit	DD + Mg	1M7	37	Mg	ddATP	416					ok	ok	ok		
2019-12-13	20191213_R	540					HIV2b	Precipit	DD + Mg	1M7	37	Mg	ddATP	540					ok	ok	ok		
2019-12-13	20191213_R	851					HIV2b	Precipit	DD + Mg	1M7	37	Mg	ddATP	851					ok	ok	ok		
2020-02-12	20200212_R	343					5UTR	Precipit	DD+Mg	1M7	37	Mg	ddATP	1UTR					ok	ok	ok		
2020-02-12	20200212_R	343					HIV0	Precipit	DD+Mg	1M7	37	Mg	ddATP	1-0					ok	ok	ok		
2020-02-12	20200212_R	540					HIV0	Precipit	DD+Mg	1M7	37	Mg	ddATP	3-0					ok	ok	ok		
2020-02-12	20200212_R	851					HIV0	Precipit	DD+Mg	1M7	37	Mg	ddATP	4-0					ok	ok	ok		
2020-02-12	20200212_R	1074					5UTR	Precipit	DD+Mg	1M7	37	Mg	ddATP	5UTR					ok	ok	ok		
2020-02-12	20200212_R	1074					HIV0	Precipit	DD+Mg	1M7	37	Mg	ddATP	5-0					ok	ok	ok		
2020-02-12	20200212_R	1396					HIV0	Precipit	DD+Mg	1M7	37	Mg	ddATP	6-0					ok	ok	ok		
2020-02-12	20200212_R	1636					HIV0	Precipit	DD+Mg	1M7	37	Mg	ddATP	7-0					ok	ok	ok		
2020-03-02	20200302_R1	1396					5UTR	Precipit	DD+Mg	1M7	37	Mg	ddTTP	1396					ok	ok	ok		
2020-06-24	20200624_R	343					UTR	precipit	DD+Mg	1M7 new	37	Mg	ddTTP	343UTR					ok	ok	ok		
2020-06-24	20200624_R	540					HIV1-3	precipit	DD+Mg	1M7 new	37	Mg	ddTTP	540_1-3					ok	ok	ok		
2020-06-24	20200624_R	851					HIV1-4	precipit	DD+Mg	1M7 new	37	Mg	ddTTP	851_1-4					ok	ok	ok		
2020-06-24	20200624_R	851					HIV1-7	precipit	DD+Mg	1M7 new	37	Mg	ddTTP	851_1-7					ok	ok	ok		
2020-07-02	20200702_R	416					HIV1-3	precipit	DD+Mg	1M7 new	37	Mg	ddCTP	416					ok	ok	ok		
2020-07-02	20200702_R	540					HIV1-3	precipit	DD+Mg	1M7 new	37	Mg	ddCTP	540					ok	ok	ok		
2020-07-02	20200702_R	851					HIV1-4	precipit	DD+Mg	1M7 new	37	Mg	ddTTP	851					ok	ok	ok		
2020-07-05	20200705_R	343					HIV1-0	precipit	DD+Mg	1M7 new	37	Mg	ddCTP	343_HIV1-0_0507					ok	ok	ok		
2020-07-05	20200705_R	416					HIV1-3	precipit	DD+Mg	1M7 new	37	Mg	ddCTP	416_HIV1-3_0507					ok	ok	ok		
2020-07-05	20200705_R	540					HIV1-3	precipit	DD+Mg	1M7 new	37	Mg	ddCTP	540_HIV1-3_0507					ok	ok	ok		
