id	rna_id	experimenter	probe	temperature	magnesium	folding_buffer	probing_delay	primer	rna_begin	rna_end	date	replicate	qushape_analysed	reference_qushape_file	reference_sequence_file	probe_file	control_file
1	didymium		1M7	37	Mg						2019-08-01	1	yes	2-qushape/didymium_1M7_37C_Mg_3.qushape	didymium.fa	1.2-fluo-ce/didymium_1M7_37C_Mg_1.fluo-ce.tsv	1.2-fluo-ce/didymium_DMSO_of_1M7_37C_Mg_1.fluo-ce.tsv
2	didymium		1M7	37	Mg						2019-08-29	2	yes	2-qushape/didymium_1M7_37C_Mg_3.qushape	didymium.fa	1.2-fluo-ce/didymium_1M7_37C_Mg_2.fluo-ce.tsv	1.2-fluo-ce/didymium_DMSO_of_1M7_37C_Mg_2.fluo-ce.tsv
3	didymium		1M7	37	Mg						2020-01-07	3	yes	2-qushape/didymium_1M7_37C_Mg_3.qushape	didymium.fa	1.2-fluo-ce/didymium_1M7_37C_Mg_3.fluo-ce.tsv	1.2-fluo-ce/didymium_DMSO_of_1M7_37C_Mg_3.fluo-ce.tsv
4	didymium		BzCN	37	Mg						2020-01-08	1	yes	2-qushape/didymium_1M7_37C_Mg_3.qushape	didymium.fa	1.2-fluo-ce/didymium_BzCN_37C_Mg_1.fluo-ce.tsv	1.2-fluo-ce/didymium_DMSO_of_BzCN_37C_Mg_1.fluo-ce.tsv
5	didymium		BzCN	37	Mg						2020-01-14	2	yes	2-qushape/didymium_1M7_37C_Mg_3.qushape	didymium.fa	1.2-fluo-ce/didymium_BzCN_37C_Mg_2.fluo-ce.tsv	1.2-fluo-ce/didymium_DMSO_of_BzCN_37C_Mg_2.fluo-ce.tsv
6	didymium		BzCN	37	Mg						2020-01-16	3	yes	2-qushape/didymium_1M7_37C_Mg_3.qushape	didymium.fa	1.2-fluo-ce/didymium_BzCN_37C_Mg_3.fluo-ce.tsv	1.2-fluo-ce/didymium_DMSO_of_BzCN_37C_Mg_3.fluo-ce.tsv
7	didymium		NMIA	37	Mg						2020-01-08	1	yes	2-qushape/didymium_1M7_37C_Mg_3.qushape	didymium.fa	1.2-fluo-ce/didymium_NMIA_37C_Mg_1.fluo-ce.tsv	1.2-fluo-ce/didymium_DMSO_of_NMIA_37C_Mg_1.fluo-ce.tsv
8	didymium		NMIA	37	Mg						2020-01-14	2	yes	2-qushape/didymium_1M7_37C_Mg_3.qushape	didymium.fa	1.2-fluo-ce/didymium_NMIA_37C_Mg_2.fluo-ce.tsv	1.2-fluo-ce/didymium_DMSO_of_NMIA_37C_Mg_2.fluo-ce.tsv
9	didymium		NMIA	37	Mg						2020-01-16	3	yes	2-qushape/didymium_1M7_37C_Mg_3.qushape	didymium.fa	1.2-fluo-ce/didymium_NMIA_37C_Mg_3.fluo-ce.tsv	1.2-fluo-ce/didymium_DMSO_of_NMIA_37C_Mg_3.fluo-ce.tsv
10	didymium		1M7	53	Mg						2019-08-01	1	yes	2-qushape/didymium_1M7_37C_Mg_3.qushape	didymium.fa	1.2-fluo-ce/didymium_1M7_53C_Mg_1.fluo-ce.tsv	1.2-fluo-ce/didymium_DMSO_of_1M7_53C_Mg_1.fluo-ce.tsv
11	didymium		1M7	53	Mg						2019-08-29	2	yes	2-qushape/didymium_1M7_37C_Mg_3.qushape	didymium.fa	1.2-fluo-ce/didymium_1M7_53C_Mg_2.fluo-ce.tsv	1.2-fluo-ce/didymium_DMSO_of_1M7_53C_Mg_2.fluo-ce.tsv
12	didymium		1M7	53	Mg						2020-01-07	3	yes	2-qushape/didymium_1M7_37C_Mg_3.qushape	didymium.fa	1.2-fluo-ce/didymium_1M7_53C_Mg_3.fluo-ce.tsv	1.2-fluo-ce/didymium_DMSO_of_1M7_53C_Mg_3.fluo-ce.tsv
13	didymium		1M7	65	Mg						2019-08-01	1	yes	2-qushape/didymium_1M7_37C_Mg_3.qushape	didymium.fa	1.2-fluo-ce/didymium_1M7_65C_Mg_1.fluo-ce.tsv	1.2-fluo-ce/didymium_DMSO_of_1M7_65C_Mg_1.fluo-ce.tsv
14	didymium		1M7	65	Mg						2019-08-29	2	yes	2-qushape/didymium_1M7_37C_Mg_3.qushape	didymium.fa	1.2-fluo-ce/didymium_1M7_65C_Mg_2.fluo-ce.tsv	1.2-fluo-ce/didymium_DMSO_of_1M7_65C_Mg_2.fluo-ce.tsv
